image,caption
1000268201_693b08cb0e.jpg,A girl going into a wooden building .
1000268201_693b08cb0e.jpg,A little girl climbing into a wooden playhouse .
1000268201_693b08cb0e.jpg,A little girl climbing the stairs to her playhouse .
1001773457_577c3a7d70.jpg,A black dog and a tri-colored dog playing with each other on the road .
1001773457_577c3a7d70.jpg,A black dog and a white dog with brown spots are staring at each other in the street .
1001773457_577c3a7d70.jpg,Two dogs on pavement moving toward each other .
1002674143_1b742ab4b8.jpg,A little girl is sitting in front of a large painted rainbow .
1002674143_1b742ab4b8.jpg,There is a girl with pigtails sitting in front of a rainbow painting .
1002674143_1b742ab4b8.jpg,Young girl with pigtails painting outside in the grass .
1003163366_44323f5815.jpg,a man sleeping on a bench outside with a white and black dog sitting next to him .
1003163366_44323f5815.jpg,A shirtless man lies on a park bench with his dog .
1003163366_44323f5815.jpg,man laying on bench holding leash of dog sitting on ground
1007129816_e794419615.jpg,A man wears an orange hat and glasses .
1007129816_e794419615.jpg,A man with gauges and glasses is wearing a Blitz hat .
1007129816_e794419615.jpg,A man with glasses is wearing a beer can crocheted hat .
1007320043_627395c3d8.jpg,A little girl climbing on red roping .
1007320043_627395c3d8.jpg,A little girl in pink climbs a rope bridge at the park .
1007320043_627395c3d8.jpg,The small child climbs on a red ropes on a playground .
1009434119_febe49276a.jpg,A black and white dog is running through the grass .
1009434119_febe49276a.jpg,A Boston Terrier is running on lush green grass in front of a white fence .
1009434119_febe49276a.jpg,A dog runs on the green grass near a wooden fence .
1012212859_01547e3f17.jpg,"Dog with orange ball at feet , stands on shore shaking off water"
1012212859_01547e3f17.jpg,White dog playing with a red ball on the shore near the water .
1012212859_01547e3f17.jpg,White dog with brown ears standing near water with head turned to one side .
1015118661_980735411b.jpg,A little boy is standing on the street while a man in overalls is working on a stone wall .
1015118661_980735411b.jpg,A young boy runs aross the street .
1015118661_980735411b.jpg,A young child is walking on a stone paved street with a metal pole and a man behind him .
1015584366_dfcec3c85a.jpg,A grey dog is leaping over a fallen tree .
1015584366_dfcec3c85a.jpg,A large black dog leaps a fallen log .
1015584366_dfcec3c85a.jpg,The black dog jumped the tree stump .
101654506_8eb26cfb60.jpg,A dog is running in the snow
101654506_8eb26cfb60.jpg,a white and brown dog is running through a snow covered field .
101654506_8eb26cfb60.jpg,The white and brown dog is running over the surface of the snow .
101669240_b2d3e7f17b.jpg,A person wearing skis looking at framed pictures set up in the snow .
101669240_b2d3e7f17b.jpg,A skier looks at framed pictures in the snow next to trees .
101669240_b2d3e7f17b.jpg,Man on skis looking at artwork for sale in the snow
1016887272_03199f49c4.jpg,A group of people are rock climbing on a rock climbing wall .
1016887272_03199f49c4.jpg,A group of people climbing a rock while one man belays
1016887272_03199f49c4.jpg,Seven climbers are ascending a rock face whilst another man stands holding the rope .
1019077836_6fc9b15408.jpg,a brown dog plays with the hose .
1019077836_6fc9b15408.jpg,A brown dog running on a lawn near a garden hose
1019077836_6fc9b15408.jpg,Large brown dog running away from the sprinkler in the grass .
1019604187_d087bf9a5f.jpg,A white dog is about to catch a yellow ball in its mouth .
1019604187_d087bf9a5f.jpg,A white dog is ready to catch a yellow ball flying through the air .
1019604187_d087bf9a5f.jpg,A white dog running after a yellow ball
1020651753_06077ec457.jpg,A dog leaps to catch a ball in a field .
1020651753_06077ec457.jpg,A white dog is trying to catch a ball in midair over a grassy field .
1020651753_06077ec457.jpg,The white dog is playing in a green field with a yellow toy .
1022454332_6af2c1449a.jpg,a large lake with a lone duck swimming in it with several people around the edge of it .
1022454332_6af2c1449a.jpg,A little boy at a lake watching a duck .
1022454332_6af2c1449a.jpg,A young boy waves his hand at the duck in the water surrounded by a green park .
1022454428_b6b660a67b.jpg,A couple sit on the grass with a baby and stroller .
1022454428_b6b660a67b.jpg,A couple with their newborn baby sitting under a tree facing a lake .
1022454428_b6b660a67b.jpg,Couple with a baby sit outdoors next to their stroller .
1022975728_75515238d8.jpg,A black lab with tags frolicks in the water .
1022975728_75515238d8.jpg,The black dog runs through the water .
1022975728_75515238d8.jpg,This is a black dog splashing in the water .
102351840_323e3de834.jpg,A person in the snow drilling a hole in the ice .
102351840_323e3de834.jpg,A person standing on a frozen lake .
102351840_323e3de834.jpg,Two men are ice fishing .
1024138940_f1fefbdce1.jpg,Two dogs are making a turn on a soft sand beach .
1024138940_f1fefbdce1.jpg,Two dogs playing in the sand at the beach .
1024138940_f1fefbdce1.jpg,Two dogs playing together on a beach .
102455176_5f8ead62d5.jpg,an ice climber in a blue jacket and black pants is scaling a frozen ice wall .
102455176_5f8ead62d5.jpg,An ice climber scaling a frozen waterfall .
102455176_5f8ead62d5.jpg,Climber climbing an ice wall
1026685415_0431cbf574.jpg,A black dog carrying something through the grass .
1026685415_0431cbf574.jpg,A dog in grass with a blue item in his mouth .
1026685415_0431cbf574.jpg,A wet black dog is carrying a green toy through the grass .
1028205764_7e8df9a2ea.jpg,A man and child kayak through gentle waters .
1028205764_7e8df9a2ea.jpg,A man and young boy ride in a yellow kayak .
1028205764_7e8df9a2ea.jpg,Man and child in yellow kayak
1030985833_b0902ea560.jpg,A black dog and a brown dog play with a red toy on a courtyard .
1030985833_b0902ea560.jpg,A brown and black lab are outside and the black lab is catching a toy in its mouth .
1030985833_b0902ea560.jpg,Black dog snaps at red and black object as brown dog lunges .
103106960_e8a41d64f8.jpg,A child in a red jacket playing street hockey guarding a goal .
103106960_e8a41d64f8.jpg,A young kid playing the goalie in a hockey rink .
